Shape,Flour Type,Weight,Function Type,Ingredients,Icing Type,Filling,Dietary Preference,Color Theme,Toppings,Cake Layers,Texture,Sweetness Level,Decorations,Serving Size,Price Range,Allergens,Shelf Life
Oval,Carrot,2kg,Corporate,"Fruits, Cream Cheese, Fondant",Whipped Cream,Raspberry Mousse,Vegan,Silver,Nuts,Multi-Tier,Moist,Low,Edible Glitter,Medium,Premium,"None, Dairy",3 Days
Dome,Marble,1kg,Festival,"Fondant, Mousse, Nuts",Cream Cheese Frosting,Vanilla Custard,Gluten-Free,Dark,"Marshmallows, Nuts",Multi-Tier,Fluffy,High,"Fondant Figures, Gold Leaf, Candied Fruits",Small,Budget,"None, Gluten",1 Week
Oval,Chocolate,2kg,Birthday,"Ganache, Fruits",Buttercream,Nutella,Low-Carb,Silver,"Marshmallows, Chocolate Chips",Single,Dense,Extra Sweet,"Fondant Figures, Piping Art, Edible Glitter",Party Size,Standard,"Gluten, Soy",1 Day
Dome,Pistachio,1.5kg,Festival,"Nuts, Cream Cheese",Fondant,Strawberry Jam,Eggless,Rainbow,"Fruits, Caramel Drizzle, Marshmallows",Multi-Tier,Fluffy,High,"Edible Glitter, Piping Art",Medium,Budget,"Soy, Nuts",Custom
Oval,Carrot,3kg,Corporate,"Ganache, Nuts, Mousse, Chocolate",Ganache,Nutella,Low-Carb,Silver,"Caramel Drizzle, Nuts, Chocolate Chips",Double,Soft,Extra Sweet,"Fondant Figures, Edible Glitter",Large,Standard,Dairy,1 Day
Oval,Pistachio,1kg,Festival,"Mousse, Nuts, Fondant, Fruits, Caramel",Fondant,Caramel,Vegan,Bright,Sprinkles,Single,Dense,High,Piping Art,Small,Budget,Soy,1 Week
Round,Carrot,0.5kg,Anniversary,"Fruits, Mousse, Fondant",Buttercream,Raspberry Mousse,Regular,Dark,"Edible Flowers, Marshmallows, Nuts",Single,Crispy,Medium,"Candied Fruits, Edible Glitter",Large,Standard,"Gluten, Dairy",1 Day
Oval,Gluten-Free,2kg,Engagement,"Caramel, Cream Cheese, Nuts, Chocolate",Whipped Cream,Raspberry Mousse,Low-Carb,Silver,"Chocolate Chips, Marshmallows",Single,Fluffy,High,"Candied Fruits, Chocolate Shavings",Party Size,Standard,"Gluten, None",3 Days
Tiered,Vanilla,0.5kg,Engagement,"Fruits, Caramel, Fondant, Chocolate, Ganache",Cream Cheese Frosting,Raspberry Mousse,Regular,Bright,"Chocolate Chips, Nuts, Fruits",Single,Crispy,Medium,"Piping Art, Gold Leaf",Large,Budget,Nuts,1 Week
Square,Marble,2.5kg,Graduation,"Buttercream, Mousse, Ganache",Fondant,Chocolate,Regular,Silver,Fruits,Multi-Tier,Dense,Medium,"Piping Art, Edible Glitter",Party Size,Standard,"Nuts, Gluten",1 Week
